snapped_at,price,market_cap,total_volume
2015-07-01 00:00:00 UTC,257.51 ,3691294141.84 ,68104997.64 
2015-07-02 00:00:00 UTC,254.65 ,3651410104.64 ,52711167.63 
2015-07-03 00:00:00 UTC,255.16 ,3659678537.63 ,42339288.97 
2015-07-04 00:00:00 UTC,260.42 ,3736024266.38 ,42932957.08 
2015-07-05 00:00:00 UTC,271.04 ,3889432509.49 ,96139966.49 
2015-07-06 00:00:00 UTC,268.60 ,3855533497.75 ,111884711.20 
2015-07-07 00:00:00 UTC,265.38 ,3810376692.04 ,64748934.31 
2015-07-08 00:00:00 UTC,269.61 ,3871966451.43 ,79366281.26 
2015-07-09 00:00:00 UTC,268.89 ,3862503903.28 ,75940632.20 
2015-07-10 00:00:00 UTC,285.02 ,4095521056.49 ,113799594.14 
2015-07-11 00:00:00 UTC,291.89 ,4195301867.78 ,114394387.17 
2015-07-12 00:00:00 UTC,310.19 ,4459352692.66 ,115546321.24 
2015-07-13 00:00:00 UTC,290.67 ,4179711756.90 ,130058766.79 
2015-07-14 00:00:00 UTC,286.67 ,4122384618.06 ,74446013.37 
2015-07-15 00:00:00 UTC,283.95 ,4084701354.03 ,52932167.70 
2015-07-16 00:00:00 UTC,276.68 ,3981564979.05 ,97423601.54 
2015-07-17 00:00:00 UTC,278.37 ,4007009432.32 ,60573486.78 
2015-07-18 00:00:00 UTC,274.48 ,3951120257.43 ,52505422.18 
2015-07-19 00:00:00 UTC,272.81 ,3926969933.48 ,26896009.89 
2015-07-20 00:00:00 UTC,277.25 ,3993823954.03 ,40729476.38 
2015-07-21 00:00:00 UTC,274.94 ,3961652068.23 ,43239135.23 
2015-07-22 00:00:00 UTC,276.18 ,3980470592.07 ,43240737.35 
2015-07-23 00:00:00 UTC,275.61 ,3973299338.70 ,34164576.52 
2015-07-24 00:00:00 UTC,288.44 ,4158911304.54 ,79396118.75 
2015-07-25 00:00:00 UTC,288.39 ,4158095826.32 ,54859994.56 
2015-07-26 00:00:00 UTC,291.70 ,4205901558.49 ,40248392.33 
2015-07-27 00:00:00 UTC,292.61 ,4219037232.32 ,63540197.33 
2015-07-28 00:00:00 UTC,293.99 ,4238912996.72 ,63623601.60 
2015-07-29 00:00:00 UTC,288.72 ,4162873225.66 ,52624701.47 
2015-07-30 00:00:00 UTC,286.84 ,4135724833.44 ,43880110.29 
2015-07-31 00:00:00 UTC,283.68 ,4090154891.22 ,63971590.59 
2015-08-01 00:00:00 UTC,280.70 ,4047265065.76 ,53533745.83 
2015-08-02 00:00:00 UTC,281.73 ,4062048251.28 ,46165536.82 
2015-08-03 00:00:00 UTC,281.83 ,4063535808.71 ,41411646.71 
2015-08-04 00:00:00 UTC,284.24 ,4098275923.12 ,48308760.91 
2015-08-05 00:00:00 UTC,281.40 ,4057353077.60 ,43424335.53 
2015-08-06 00:00:00 UTC,278.01 ,4008508406.56 ,41914107.68 
2015-08-07 00:00:00 UTC,278.51 ,4015651480.28 ,47637462.17 
2015-08-08 00:00:00 UTC,259.80 ,3745910822.15 ,80056217.00 
2015-08-09 00:00:00 UTC,264.34 ,3811337988.90 ,67863178.91 
2015-08-10 00:00:00 UTC,263.58 ,3817350354.96 ,60783290.22 
2015-08-11 00:00:00 UTC,269.87 ,3909600811.62 ,64124893.00 
2015-08-12 00:00:00 UTC,267.71 ,3879202423.71 ,73043602.39 
